user_id,sentiment,score
user_2692,Neutral,0.0
user_6831,Negative,-2.0
user_9090,Positive,3.0
user_7339,Neutral,0.0
user_7540,Negative,-4.0
user_9587,Neutral,0.0
user_0858,Neutral,0.0
user_9860,Neutral,0.0
user_2303,Neutral,0.0
user_0589,Neutral,0.0
user_4341,Negative,-3.0
user_8690,Negative,-2.0
user_8507,Positive,2.0
user_6476,Positive,3.0
user_3479,Negative,-2.0
user_7296,Positive,3.0
user_4978,Neutral,0.0
user_9270,Neutral,0.0
user_9236,Neutral,0.0
user_9763,Negative,-2.0
user_1983,Positive,3.0
user_7574,Neutral,0.0
user_1123,Neutral,0.0
user_1329,Neutral,0.0
user_9783,Neutral,0.0
user_7545,Negative,-6.0
user_2935,Neutral,0.0
user_6512,Negative,-4.0
user_7424,Neutral,0.0
user_8936,Negative,-4.0
user_4554,Neutral,0.0
user_2581,Negative,-2.0
user_1051,Negative,-2.0
user_0720,Neutral,0.0
user_5997,Negative,-2.0
user_6497,Neutral,0.0
user_1648,Negative,-3.0
user_0278,Positive,2.0
user_7153,Negative,-2.0
user_0840,Negative,-6.0
user_2445,Positive,3.0
user_4569,Neutral,0.0
user_4271,Negative,-3.0
user_4946,Positive,2.0
user_7436,Positive,3.0
user_6110,Positive,1.0
user_8974,Positive,3.0
user_0302,Neutral,0.0
user_9129,Neutral,0.0
user_1282,Neutral,0.0
user_7900,Positive,3.0
user_7952,Neutral,0.0
user_6079,Positive,3.0
user_5627,Positive,3.0
user_8973,Neutral,0.0
user_2757,Neutral,0.0
user_3764,Neutral,0.0
user_8027,Neutral,0.0
user_2742,Positive,3.0
user_5289,Positive,4.0
user_2865,Positive,3.0
user_9734,Neutral,0.0
user_9282,Neutral,0.0
user_5165,Neutral,0.0
user_5024,Negative,-2.0
user_1063,Negative,-3.0
user_8250,Neutral,0.0
user_6733,Neutral,0.0
user_4773,Neutral,0.0
user_6769,Neutral,0.0
user_9917,Negative,-6.0
user_5899,Negative,-3.0
user_3669,Positive,2.0
user_1663,Neutral,0.0
user_9526,Positive,3.0
user_4367,Neutral,0.0
user_8480,Negative,-2.0
user_3075,Positive,3.0
user_9922,Neutral,0.0
user_3612,Positive,3.0
user_3380,Neutral,0.0
user_0425,Negative,-2.0
user_0245,Negative,-2.0
user_1525,Positive,3.0
user_4403,Neutral,0.0
user_1638,Positive,2.0
user_3686,Positive,3.0
user_5514,Positive,4.0
user_1154,Negative,-4.0
user_2849,Positive,3.0
user_2201,Neutral,0.0
user_2082,Negative,-3.0
user_7243,Negative,-2.0
user_7813,Negative,-2.0
user_2781,Negative,-2.0
user_5416,Negative,-3.0
user_8753,Negative,-3.0
user_1764,Positive,4.0
user_3507,Positive,3.0
user_7410,Neutral,0.0
user_1277,Neutral,0.0
user_5232,Neutral,0.0
user_9160,Positive,3.0
user_2679,Neutral,0.0
user_4113,Positive,2.0
user_1977,Neutral,0.0
user_2394,Negative,-3.0
user_1405,Neutral,0.0
user_3166,Positive,3.0
user_3092,Neutral,0.0
user_6509,Negative,-3.0
user_4018,Neutral,0.0
user_2584,Negative,-2.0
user_6354,Neutral,0.0
user_1547,Neutral,0.0
user_9380,Negative,-3.0
user_4346,Neutral,0.0
user_5522,Negative,-1.0
user_7474,Negative,-2.0
user_5641,Neutral,0.0
user_6722,Neutral,0.0
user_7485,Positive,3.0
user_6465,Negative,-3.0
user_2761,Negative,-3.0
user_6206,Neutral,0.0
user_4764,Neutral,0.0
user_5848,Negative,-2.0
user_7871,Neutral,0.0
user_5798,Neutral,0.0
user_7333,Negative,-4.0
user_3565,Negative,-2.0
user_8191,Negative,-3.0
user_2899,Positive,1.0
user_5857,Negative,-6.0
user_6483,Negative,-6.0
user_1448,Neutral,0.0
user_9019,Negative,-4.0
user_4991,Positive,2.0
user_0569,Neutral,0.0
user_9438,Neutral,0.0
user_7072,Neutral,0.0
user_6886,Neutral,0.0
user_8968,Negative,-2.0
user_7003,Positive,3.0
user_6635,Positive,3.0
user_0155,Negative,-2.0
user_6171,Negative,-3.0
user_6448,Positive,1.0
user_6967,Neutral,0.0
user_4795,Neutral,0.0
user_5630,Negative,-3.0
user_2172,Negative,-1.0
user_1972,Neutral,0.0
user_3040,Positive,2.0
user_2451,Positive,2.0
user_8176,Neutral,0.0
user_6750,Neutral,0.0
user_6451,Neutral,0.0
user_8490,Positive,1.0
user_7393,Neutral,0.0
user_7671,Positive,4.0
user_7242,Neutral,0.0
user_7861,Neutral,0.0
user_4690,Negative,-3.0
user_9092,Negative,-4.0
user_1124,Neutral,0.0
user_4802,Neutral,0.0
user_8524,Neutral,0.0
user_2638,Neutral,0.0
user_5822,Neutral,0.0
user_1384,Neutral,0.0
user_8751,Positive,3.0
user_7484,Neutral,0.0
user_0350,Neutral,0.0
user_5120,Positive,4.0
user_2706,Positive,3.0
user_3881,Neutral,0.0
user_9076,Neutral,0.0
user_9023,Neutral,0.0
user_0728,Neutral,0.0
user_6363,Neutral,0.0
user_6593,Negative,-2.0
user_6201,Neutral,0.0
user_8017,Neutral,0.0
user_4917,Positive,3.0
user_6610,Negative,-3.0
user_9253,Positive,2.0
user_7317,Neutral,0.0
user_2631,Positive,1.0
user_9527,Negative,-1.0
user_0755,Positive,3.0
user_4338,Positive,3.0
user_9663,Positive,3.0
user_1655,Positive,1.0
user_9238,Negative,-3.0
user_1645,Positive,2.0
user_2695,Neutral,0.0
user_9486,Neutral,0.0
user_8980,Neutral,0.0
user_1889,Neutral,0.0
user_2976,Neutral,0.0
user_7719,Positive,3.0
user_5791,Neutral,0.0
user_1414,Neutral,0.0
user_1609,Positive,3.0
user_0778,Positive,3.0
user_7948,Positive,3.0
user_7188,Positive,2.0
user_7882,Positive,3.0
user_9289,Neutral,0.0
user_9337,Positive,3.0
user_2690,Negative,-2.0
user_1978,Negative,-3.0
user_3750,Neutral,0.0
user_1104,Neutral,0.0
user_6933,Neutral,0.0
user_6379,Negative,-3.0
user_7452,Neutral,0.0
user_7883,Positive,1.0
user_4260,Negative,-2.0
user_6728,Neutral,0.0
user_7956,Neutral,0.0
user_8575,Negative,-2.0
user_1922,Negative,-1.0
user_5017,Neutral,0.0
user_9656,Positive,4.0
user_5115,Neutral,0.0
user_1086,Negative,-2.0
user_3734,Neutral,0.0
user_6348,Positive,3.0
user_8364,Neutral,0.0
user_5722,Neutral,0.0
user_3209,Negative,-3.0
user_9791,Negative,-2.0
user_6818,Neutral,0.0
user_2999,Negative,-1.0
user_8421,Negative,-3.0
user_9161,Neutral,0.0
user_2217,Positive,3.0
user_6388,Negative,-2.0
user_7806,Positive,3.0
user_5288,Neutral,0.0
user_6789,Neutral,0.0
user_9283,Positive,3.0
user_5161,Neutral,0.0
user_4240,Negative,-2.0
user_7328,Neutral,0.0
user_7307,Neutral,0.0
user_3791,Neutral,0.0
user_5979,Negative,-3.0
user_3429,Positive,2.0
user_7261,Neutral,0.0
user_7498,Neutral,0.0
user_6693,Neutral,0.0
user_9794,Neutral,0.0
user_5868,Neutral,0.0
user_6563,Negative,-2.0
user_2262,Neutral,0.0
user_1620,Positive,2.0
user_8809,Neutral,0.0
user_3645,Negative,-3.0
user_7649,Neutral,0.0
user_3810,Neutral,0.0
user_1466,Neutral,0.0
user_3026,Neutral,0.0
user_4372,Positive,3.0
user_3328,Negative,-3.0
user_2036,Neutral,0.0
user_1450,Neutral,0.0
user_2235,Positive,1.0
user_8618,Neutral,0.0
user_8328,Neutral,0.0
user_6411,Neutral,0.0
user_9814,Negative,-3.0
user_3673,Neutral,0.0
user_2109,Neutral,0.0
user_8085,Neutral,0.0
user_3557,Positive,3.0
user_0535,Neutral,0.0
user_5382,Neutral,0.0
user_9184,Negative,-2.0
user_1938,Positive,4.0
user_8897,Negative,-2.0
user_9332,Neutral,0.0
user_0823,Neutral,0.0
user_5201,Positive,3.0
user_0611,Negative,-2.0
user_9039,Neutral,0.0
user_0904,Positive,2.0
user_2299,Negative,-3.0
user_1391,Positive,4.0
user_4947,Negative,-2.0
user_9928,Neutral,0.0
user_0106,Negative,-1.0
user_9379,Positive,2.0
user_0408,Neutral,0.0
user_1194,Positive,1.0
user_1607,Neutral,0.0
user_8202,Positive,3.0
user_4916,Neutral,0.0
user_0348,Neutral,0.0
user_1642,Neutral,0.0
user_6989,Neutral,0.0
user_9125,Negative,-2.0
user_9722,Positive,1.0
user_6996,Neutral,0.0
user_4163,Neutral,0.0
user_2410,Neutral,0.0
user_4761,Neutral,0.0
user_2870,Neutral,0.0
user_0906,Positive,3.0
user_5168,Neutral,0.0
user_7009,Negative,-3.0
user_3485,Positive,2.0
user_2587,Positive,2.0
user_0739,Positive,3.0
